product_ID,product_name,cate_main,cate_sub,cost_unit,retail_price_unit,stock_ID
pid_1,frankfurter,meat and sausage,sausage,5.7,8.6,1
pid_2,sausage,meat and sausage,sausage,2.2,5.8,1
pid_3,liver loaf,meat and sausage,sausage,1.8,3.2,1
pid_4,ham,meat and sausage,sausage,2.1,4.4,1
pid_5,meat,meat and sausage,sausage,3,5,1
pid_6,finished products,meat and sausage,sausage,4.2,5.9,1
pid_7,organic sausage,meat and sausage,sausage,5.5,8.6,1
pid_8,chicken,meat and sausage,poultry,7.2,9.99,1
pid_9,turkey,meat and sausage,poultry,9.3,12.99,1
pid_10,pork,meat and sausage,pork,8.4,15.99,1
pid_11,beef,meat and sausage,beef,9.8,18.99,1
pid_12,hamburger meat,meat and sausage,beef,8.9,17.99,1
pid_13,fish,meat and sausage,fish,11.2,20.99,1
pid_14,citrus fruit,fruit and vegetables,fruit,0.8,1.1,1
pid_15,tropical fruit,fruit and vegetables,fruit,0.5,1.5,1
pid_16,pip fruit,fruit and vegetables,fruit,0.8,1.2,1
pid_17,grapes,fruit and vegetables,fruit,0.6,1,1
pid_18,berries,fruit and vegetables,fruit,0.3,1.2,1
pid_19,nuts/prunes,fruit and vegetables,fruit,0.2,2.1,1
pid_20,root vegetables,fruit and vegetables,vegetables,0.2,1.6,1
pid_21,onions,fruit and vegetables,vegetables,0.1,1.3,1
pid_22,herbs,fruit and vegetables,vegetables,0.05,1.7,1
pid_23,other vegetables,fruit and vegetables,vegetables,0.08,1,1
pid_24,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables,1.2,2,1
pid_25,whole milk,fresh products,dairy produce,1.5,1.9,1
pid_26,butter,fresh products,dairy produce,2.4,2.6,1
pid_27,curd,fresh products,dairy produce,1.3,1.5,1
pid_28,dessert,fresh products,dairy produce,3.6,3.7,1
pid_29,butter milk,fresh products,dairy produce,1.9,2.3,1
pid_30,yogurt,fresh products,dairy produce,2.4,2.7,1
pid_31,whipped/sour cream,fresh products,dairy produce,2.7,2.9,1
