labels,level2,level1
frankfurter,sausage,meat and sausage
sausage,sausage,meat and sausage
liver loaf,sausage,meat and sausage
ham,sausage,meat and sausage
meat,sausage,meat and sausage
finished products,sausage,meat and sausage
organic sausage,sausage,meat and sausage
chicken,poultry,meat and sausage
turkey,poultry,meat and sausage
pork,pork,meat and sausage
beef,beef,meat and sausage
hamburger meat,beef,meat and sausage
fish,fish,meat and sausage
citrus fruit,fruit,fruit and vegetables
tropical fruit,fruit,fruit and vegetables
pip fruit,fruit,fruit and vegetables
grapes,fruit,fruit and vegetables
berries,fruit,fruit and vegetables
nuts/prunes,fruit,fruit and vegetables
root vegetables,vegetables,fruit and vegetables
onions,vegetables,fruit and vegetables
herbs,vegetables,fruit and vegetables
other vegetables,vegetables,fruit and vegetables
packaged fruit/vegetables,packaged fruit/vegetables,fruit and vegetables
whole milk,dairy produce,fresh products
butter,dairy produce,fresh products
curd,dairy produce,fresh products
dessert,dairy produce,fresh products
butter milk,dairy produce,fresh products
yogurt,dairy produce,fresh products
whipped/sour cream,dairy produce,fresh products
beverages,dairy produce,fresh products
UHT-milk,shelf-stable dairy,fresh products
condensed milk,shelf-stable dairy,fresh products
cream,shelf-stable dairy,fresh products
soft cheese,cheese,fresh products
sliced cheese,cheese,fresh products
hard cheese,cheese,fresh products
cream cheese ,cheese,fresh products
processed cheese,cheese,fresh products
spread cheese,cheese,fresh products
curd cheese,cheese,fresh products
specialty cheese,cheese,fresh products
mayonnaise,delicatessen,fresh products
salad dressing,delicatessen,fresh products
tidbits,delicatessen,fresh products
frozen vegetables,frozen foods,fresh products
frozen fruits,frozen foods,fresh products
frozen meals,frozen foods,fresh products
frozen fish,frozen foods,fresh products
frozen chicken,frozen foods,fresh products
ice cream,frozen foods,fresh products
frozen dessert,frozen foods,fresh products
frozen potato products,frozen foods,fresh products
domestic eggs,eggs,fresh products
rolls/buns,bread and backed goods,fresh products
white bread,bread and backed goods,fresh products
brown bread,bread and backed goods,fresh products
pastry,bread and backed goods,fresh products
roll products ,bread and backed goods,fresh products
semi-finished bread,bread and backed goods,fresh products
zwieback,bread and backed goods,fresh products
potato products,staple foods,processed food
flour,staple foods,processed food
salt,staple foods,processed food
rice,staple foods,processed food
pasta,staple foods,processed food
vinegar,vinegar/oils,processed food
oil,vinegar/oils,processed food
margarine,vinegar/oils,processed food
specialty fat,vinegar/oils,processed food
sugar,sweetener,processed food
artif. sweetener,sweetener,processed food
honey,sweetener,processed food
mustard,condiments,processed food
ketchup,condiments,processed food
spices,condiments,processed food
soups,soups/sauces,processed food
ready soups,soups/sauces,processed food
Instant food products,soups/sauces,processed food
sauces,soups/sauces,processed food
cereals,health food,processed food
organic products,health food,processed food
baking powder,bakery improver,processed food
preservation products,bakery improver,processed food
pudding powder,pudding powder,processed food
canned vegetables,canned fruit/vegetables,canned food
canned fruit,canned fruit/vegetables,canned food
pickled vegetables,canned fruit/vegetables,canned food
specialty vegetables,canned fruit/vegetables,canned food
jam,jam/sweet spreads,canned food
sweet spreads,jam/sweet spreads,canned food
meat spreads,meat spreads,canned food
canned fish,canned fish,canned food
dog food,pet food/care,canned food
cat food,pet food/care,canned food
pet care,pet food/care,canned food
baby food,baby food,canned food
coffee,coffee,drinks
instant coffee,coffee,drinks
tea,tea/cocoa drinks,drinks
cocoa drinks,tea/cocoa drinks,drinks
bottled water,non-alc. drinks,drinks
soda,non-alc. drinks,drinks
misc. beverages,non-alc. drinks,drinks
fruit/vegetable juice,non-alc. drinks,drinks
syrup,non-alc. drinks,drinks
bottled beer,beer,drinks
canned beer,beer,drinks
brandy,hard drinks,drinks
whisky,hard drinks,drinks
liquor,hard drinks,drinks
rum,hard drinks,drinks
liqueur,hard drinks,drinks
liquor (appetizer),hard drinks,drinks
white wine,wine,drinks
red/blush wine,wine,drinks
prosecco,wine,drinks
sparkling wine,wine,drinks
salty snack,snacks,snacks and candies
popcorn,snacks,snacks and candies
nut snack,snacks,snacks and candies
snack products,snacks,snacks and candies
long life bakery product,long-life bakery products,snacks and candies
waffles,long-life bakery products,snacks and candies
cake bar,long-life bakery products,snacks and candies
chewing gum,chewing gum,snacks and candies
chocolate,chocolate,snacks and candies
cooking chocolate,chocolate,snacks and candies
specialty chocolate,chocolate,snacks and candies
specialty bar,chocolate,snacks and candies
chocolate marshmallow,chocolate,snacks and candies
candy,candy,snacks and candies
seasonal products,seasonal products,snacks and candies
detergent,detergent/softener,detergent
softener,detergent/softener,detergent
decalcifier,detergent/softener,detergent
dish cleaner,cleaner,detergent
abrasive cleaner,cleaner,detergent
cleaner,cleaner,detergent
toilet cleaner,bathroom cleaner,detergent
bathroom cleaner,bathroom cleaner,detergent
hair spray,hair care,perfumery
dental care,dental care,perfumery
male cosmetics,cosmetics,perfumery
make up remover,cosmetics,perfumery
skin care,cosmetics,perfumery
female sanitary products,cosmetics,perfumery
baby cosmetics,cosmetics,perfumery
soap,soap,perfumery
rubbing alcohol,personal hygiene,perfumery
hygiene articles,perfumery,perfumery
napkins,perfumery,perfumery
dishes,non-food kitchen,non-food
cookware,non-food kitchen,non-food
kitchen utensil,non-food kitchen,non-food
cling film/bags,non-food kitchen,non-food
kitchen towels,non-food house keeping products,non-food
house keeping products,non-food house keeping products,non-food
candles,non-food house keeping products,non-food
light bulbs,non-food house keeping products,non-food
sound storage medium,games/books/hobby,non-food
newspapers,games/books/hobby,non-food
photo/film,games/books/hobby,non-food
pot plants,garden,non-food
flower soil/fertilizer,garden,non-food
flower (seeds),garden,non-food
shopping bags,bags,non-food
bags,bags,non-food
